idCity,Name,addres
1,Pengilon,01973 Carpenter Circle
2,Huancapallac,63 Columbus Trail
3,Arroio Grande,537 Fremont Terrace
4,Brudzeń Duży,498 Manufacturers Road
5,Thị Trấn Cẩm Thủy,0 Shelley Parkway
6,Porkhov,290 Packers Crossing
7,Alistráti,8 Maple Wood Circle
8,Wairiang,79393 Thackeray Trail
9,Hōjō,85835 Center Crossing
10,São Domingos do Maranhão,3058 Magdeline Avenue
11,Sake,55 Morningstar Junction
12,Tsurib,0 Hudson Plaza
13,Tlogotunggal,41119 Bluejay Drive
14,Cunliji,887 Heath Circle
15,Inari,4 Eagan Street
16,Tysmenychany,648 Vernon Parkway
17,Puerto Nariño,5 Roxbury Trail
18,Kabare,1 Knutson Lane
19,Jieshui,473 Sycamore Court
20,Valencia,9917 Vera Pass
21,Atlanta,64222 Hoffman Center
22,Blois,77363 Sauthoff Way
23,Brunflo,08383 La Follette Junction
24,Retenggoma,429 Hanson Circle
25,Buawan,05 Sullivan Circle
26,Kiaranonggeng,20 Hanson Way
27,Buchou,902 Meadow Vale Crossing
28,Qal‘at al Andalus,981 Caliangt Center
29,Valdemarsvik,48833 Oak Valley Hill
30,Lendangara Satu,2 Eastwood Terrace
