nameLocation,latitude,longitude,Report,Datetime,Name
320 Pawling Road,8.56813930,-70.35838790,Donec ut dolor.,2016-05-25 00:00:00,Significativa
6 Banding Circle,45.00587420,39.06949000,Suspendisse potenti.,2012-11-26 00:00:00,Mínima
51 Fordem Center,44.19468020,4.04306080,Vivamus in felis eu sapien cursus vestibulum.,2014-07-31 00:00:00,Mínima
5 Claremont Lane,7.76666700,-71.46666700,Etiam justo.,2020-03-03 00:00:00,Mínima
7843 Londonderry Hill,27.26740270,31.15192800,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2018-04-06 00:00:00,Alta
35 Emmet Road,66.32263100,23.67353000,Fusce posuere felis sed lacus.,2020-06-11 00:00:00,Alta
8654 Beilfuss Pass,-6.97167800,107.58454180,Etiam justo.,2020-03-03 00:00:00,Mínima
857 Walton Park,-15.92540000,-69.33540000,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2014-11-21 00:00:00,Moderada
621 Meadow Vale Plaza,33.82979930,46.30731610,Duis ac nibh.,2019-07-06 00:00:00,Significativa
9 Pennsylvania Center,25.82234900,107.32232300,Cras in purus eu magna vulputate luctus.,2010-09-17 00:00:00,Moderada
332 Fair Oaks Avenue,48.70375150,2.30560350,Integer ac neque.,2020-06-24 00:00:00,Moderada
0361 Lighthouse Bay Court,-6.73387510,111.34710220,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2018-04-06 00:00:00,Alta
42765 Gerald Plaza,24.51302500,117.64709300,Nulla facilisi.,2021-03-14 00:00:00,Baja
5201 Del Mar Park,60.35733690,5.27316440,Duis ac nibh.,2019-07-06 00:00:00,Significativa
8 Schmedeman Terrace,42.07927900,-8.48351850,Suspendisse accumsan tortor quis turpis.,2019-04-18 00:00:00,Baja
0 Del Mar Trail,-9.29393180,-77.62425740,Praesent lectus.,2019-11-06 00:00:00,Grave
4 Mendota Lane,23.15604500,112.89660600,Nam tristique tortor eu pede.,2020-04-16 00:00:00,Alta
